Week,L,M,S,SD,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
152,1,48.6722,0.02906,1.4144,44.4,45.8,47.3,48.7,50.1,51.5,52.9
156,1,48.7489,0.02903,1.4152,44.5,45.9,47.3,48.7,50.2,51.6,53
160,1,48.8228,0.029,1.4159,44.6,46,47.4,48.8,50.2,51.7,53.1
164,1,48.8941,0.02897,1.4165,44.6,46.1,47.5,48.9,50.3,51.7,53.1
168,1,48.9629,0.02894,1.417,44.7,46.1,47.5,49,50.4,51.8,53.2
172,1,49.0294,0.02891,1.4174,44.8,46.2,47.6,49,50.4,51.9,53.3
176,1,49.0937,0.02888,1.4178,44.8,46.3,47.7,49.1,50.5,51.9,53.3
180,1,49.156,0.02886,1.4186,44.9,46.3,47.7,49.2,50.6,52,53.4
184,1,49.2164,0.02883,1.4189,45,46.4,47.8,49.2,50.6,52.1,53.5
188,1,49.2751,0.0288,1.4191,45,46.4,47.9,49.3,50.7,52.1,53.5
192,1,49.3321,0.02878,1.4198,45.1,46.5,47.9,49.3,50.8,52.2,53.6
196,1,49.3877,0.02875,1.4199,45.1,46.5,48,49.4,50.8,52.2,53.6
200,1,49.4419,0.02873,1.4205,45.2,46.6,48,49.4,50.9,52.3,53.7
204,1,49.4947,0.0287,1.4205,45.2,46.7,48.1,49.5,50.9,52.3,53.8
208,1,49.5464,0.02868,1.421,45.3,46.7,48.1,49.5,51,52.4,53.8
212,1,49.5969,0.02865,1.421,45.3,46.8,48.2,49.6,51,52.4,53.9
216,1,49.6464,0.02863,1.4214,45.4,46.8,48.2,49.6,51.1,52.5,53.9
220,1,49.6947,0.02861,1.4218,45.4,46.9,48.3,49.7,51.1,52.5,54
224,1,49.7421,0.02859,1.4221,45.5,46.9,48.3,49.7,51.2,52.6,54
228,1,49.7885,0.02856,1.422,45.5,46.9,48.4,49.8,51.2,52.6,54.1
232,1,49.8341,0.02854,1.4223,45.6,47,48.4,49.8,51.3,52.7,54.1
236,1,49.8789,0.02852,1.4226,45.6,47,48.5,49.9,51.3,52.7,54.1
240,1,49.9229,0.0285,1.4228,45.7,47.1,48.5,49.9,51.3,52.8,54.2
